,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Wifi,Free parking on premises,TV,Washer,Paid crib - available upon request,Children’s books and toys for ages 2-5 years old,Baby bath - available upon request,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Guest favorite,Kitchen,Dedicated workspace,Free parking garage on premises – 1 space,Pool,HDTV with premium cable,Elevator,Private patio or balcony,City skyline view,Pets allowed,Shared outdoor pool - open specific hours,rooftop,Mountain view,Free dryer – In unit,Shared outdoor pool - available all year,open specific hours,infinity,rooftop,Shared hot tub - open specific hours,Free street parking,41 inch HDTV with HBO Max,Chromecast,Netflix,premium cable,standard cable,Fast wifi – 183 Mbps,Air conditioning,Superhost,Paid washer – In building,Shared pool,Private hot tub,Fast wifi – 185 Mbps,Shared sauna,HDTV with Netflix,Free residential garage on premises,55 inch HDTV with Amazon Prime Video,Netflix,HBO Max,Fire TV,Apple TV,Disney+,Indoor pool - available all year,open specific hours,rooftop,55 inch HDTV with HBO Max,Free washer – In unit,Shared outdoor pool - available all year,open specific hours,rooftop,Shared hot tub,55 inch HDTV with Netflix,premium cable,Shared pool -,HDTV with premium cable,standard cable,AC - split type ductless system,Patio or balcony,Backyard,Central air conditioning,Garden view,TV with premium cable,Fast wifi – 158 Mbps,60 inch HDTV with Netflix,Portable air conditioning,Shared outdoor pool - available all year,open specific hours,55 inch HDTV with Disney+,Netflix,Fast wifi – 101 Mbps,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,premium cable,Shared outdoor pool - available all year,open specific hours,infinity,Fast wifi – 260 Mbps,32 inch HDTV with Roku,Hair dryer,42 inch HDTV with standard cable,Luggage dropoff allowed,50 inch HDTV with premium cable,Dryer,TV with standard cable,HDTV with standard cable,premium cable,Amazon Prime Video,Electrolux refrigerator,Microwave,Shared pool - available all year,open specific hours,50 inch HDTV with Amazon Prime Video,Disney+,Netflix,standard cable,Park view,Private outdoor pool - available all year,open specific hours,infinity,Private sauna,Free dryer
,11,290,145,0,145,0,0,0,0,0,777592955957950056,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,102,10,7,4.85,4.85 (75),10,https://www.airbnb.com/rooms/777592955957950056?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,74,0.7254901961,14,14,28,0.2745098039,,TRUE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,290,170,0,120,0,0,0,0,0,543500120672863941,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,73,5,3,4.75,4.75 (91),15,https://www.airbnb.com/rooms/543500120672863941?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.7534246575,8,10,18,0.2465753425,,,TRUE,,,,,,,,FALSE,FALSE,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,280,125,0,155,0,0,0,0,0,41340713,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,112,14,8,4.89,4.89 (116),8,https://www.airbnb.com/rooms/41340713?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.7410714286,13,16,29,0.2589285714,4 beds,TRUE,TRUE,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,275,90,0,185,0,0,0,0,0,1059444961124207286,,,,Apartment in Floridablanca,01/18/25 - 01/21/25,162,21,15,4.97,4.97 (32),2,https://www.airbnb.com/rooms/1059444961124207286?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,124,0.7654320988,15,23,38,0.2345679012,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,275,95,0,180,0,0,0,0,0,669040747084910067,,,,Condo in Floridablanca,01/18/25 - 01/21/25,141,20,14,4.96,4.96 (46),3,https://www.airbnb.com/rooms/669040747084910067?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,112,0.7943262411,9,20,29,0.2056737589,2 beds,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,275,125,0,150,0,0,0,0,0,734163826478818161,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,112,14,8,4.86,4.86 (57),9,https://www.airbnb.com/rooms/734163826478818161?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.7410714286,13,16,29,0.2589285714,5 beds,,TRUE,TRUE,,,,,,,FALSE,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,275,130,0,145,0,0,0,0,0,1236859005990542320,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,107,13,11,4.85,4.85 (26),10,https://www.airbnb.com/rooms/1236859005990542320?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,98,0.9158878505,9,0,9,0.08411214953,1 queen bed,,,,,,,,,,FALSE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,270,80,0,190,0,0,0,0,0,1258951616897352849,,,,Apartment in Floridablanca,01/18/25 - 01/21/25,173,23,19,5,5.0 (7),1,https://www.airbnb.com/rooms/1258951616897352849?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,50,3,149,0.8612716763,0,24,24,0.1387283237,3 beds,TRUE,TRUE,,,TRUE,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,19,270,120,0,150,0,0,0,0,0,659210780592323604,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,113,15,10,4.86,4.86 (166),9,https://www.airbnb.com/rooms/659210780592323604?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.796460177,7,16,23,0.203539823,,TRUE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,270,155,0,115,0,0,0,0,0,27137978,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,83,8,5,4.74,4.74 (222),16,https://www.airbnb.com/rooms/27137978?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,64,0.7710843373,7,12,19,0.2289156627,,,TRUE,,,TRUE,,,,,FALSE,FALSE,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
