rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Wifi,Free parking on premises,TV,Washer,Paid crib - available upon request,Children’s books and toys for ages 2-5 years old,Baby bath - available upon request,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Guest favorite,City skyline view,Mountain view,Kitchen,Dedicated workspace,Shared outdoor pool - available all year, open specific hours, infinity, rooftop,Shared hot tub - open specific hours,Superhost,Shared pool,Private hot tub,55 inch HDTV with Netflix, premium cable,Elevator,Fast wifi – 158 Mbps,Free parking garage on premises – 1 space,60 inch HDTV with Netflix,Free washer – In unit,Portable air conditioning,Pets allowed
13,430,240,0,190,0,0,0,0,0,29874375,Apartment in Bucaramanga,01/18/25 - 01/21/25,73,5,4,4.81,4.81 (282),15,https://www.airbnb.com/rooms/29874375?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,18,3,55,0.7534246575342466,8,10,18,0.2465753424657534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,420,180,0,240,0,0,0,0,0,829753909364882966,Apartment in Floridablanca,01/18/25 - 01/21/25,112,17,11,4.94,4.94 (18),5,https://www.airbnb.com/rooms/829753909364882966?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,29,3,86,0.7678571428571429,10,16,26,0.23214285714285715,2 beds,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
15,410,190,0,220,0,0,0,0,0,813804294489879922,Loft in Bucaramanga,01/18/25 - 01/21/25,105,15,10,4.89,4.89 (71),9,https://www.airbnb.com/rooms/813804294489879922?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,28,3,83,0.7904761904761904,7,15,22,0.20952380952380953,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
16,400,180,0,220,0,0,0,0,0,41340713,Apartment in Bucaramanga,01/18/25 - 01/21/25,112,17,10,4.89,4.89 (117),9,https://www.airbnb.com/rooms/41340713?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,28,3,83,0.7410714285714286,13,16,29,0.25892857142857145,4 beds,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
17,400,220,0,180,0,0,0,0,0,27137978,Apartment in Bucaramanga,01/18/25 - 01/21/25,83,9,6,4.74,4.74 (222),17,https://www.airbnb.com/rooms/27137978?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,21,3,64,0.7710843373493976,7,12,19,0.2289156626506024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,390,145,0,245,0,0,0,0,0,669040747084910067,Condo in Floridablanca,01/18/25 - 01/21/25,141,24,16,4.96,4.96 (46),4,https://www.airbnb.com/rooms/669040747084910067?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,112,0.7943262411347518,9,20,29,0.20567375886524822,2 beds,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
19,390,185,0,205,0,0,0,0,0,1236859005990542320,Loft in Bucaramanga,01/18/25 - 01/21/25,109,16,14,4.85,4.85 (27),12,https://www.airbnb.com/rooms/1236859005990542320?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,33,3,100,0.9174311926605505,9,0,9,0.08256880733944955,1 queen bed,,,,,,,,,,false,false,,,,true,true,,,true,,,,true,true,true,true,true,true,
20,385,175,0,210,0,0,0,0,0,659210780592323604,Loft in Bucaramanga,01/18/25 - 01/21/25,113,18,12,4.86,4.86 (166),11,https://www.airbnb.com/rooms/659210780592323604?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,30,3,90,0.7964601769911505,7,16,23,0.20353982300884957,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
21,380,120,0,260,0,0,0,0,0,1258951616897352849,Apartment in Floridablanca,01/18/25 - 01/21/25,173,29,21,5,5.0 (7),1,https://www.airbnb.com/rooms/1258951616897352849?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,50,3,149,0.861271676300578,0,24,24,0.13872832369942195,3 beds,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
22,380,130,0,250,0,0,0,0,0,1059444961124207286,Apartment in Floridablanca,01/18/25 - 01/21/25,162,27,18,4.97,4.97 (32),3,https://www.airbnb.com/rooms/1059444961124207286?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,124,0.7654320987654321,15,23,38,0.2345679012345679,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
