rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Guest favorite,guest_favorite,Kitchen,Wifi,TV,Exterior security cameras on property,Carbon monoxide alarm,Lake access,Free parking on premises,Pets allowed,Elevator,Washer,Free street parking,Refrigerator,Smoke alarm,Dedicated workspace,Private patio or balcony,Lake view,Garden view,Private hot tub,Luggage dropoff allowed,Hair dryer,Wifi – 10 Mbps,Private hot tub - available all year, open 24 hours,37 inch HDTV with Chromecast,Waterfront,Wifi – 37 Mbps,32 inch HDTV with Netflix,Free washer – In building,Free dryer – In building,Mountain view,City skyline view,Free driveway parking on premises,Hot tub,Free driveway parking on premises – 1 space,127 inch HDTV with premium cable,Superhost,Air conditioning,Crib,Free dryer – In unit,Patio or balcony,Long term stays allowed,Paid parking lot off premises,Bay view,42 inch HDTV with Netflix,Private backyard – Fully fenced,45 inch HDTV with Netflix,Paid washer,Backyard,43 inch HDTV with Netflix, standard cable,Shared backyard – Fully fenced,Fast wifi – 82 Mbps,Shared backyard
11,455,255,0,200,0,0,0,0,0,17213146,Apartment in Guatape,01/18/25 - 01/21/25,95,5,5,4.8,4.8 (605),16,https://www.airbnb.com/rooms/17213146?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,25,3,78,0.8210526315789474,8,12,20,0.21052631578947367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
12,455,270,0,185,0,0,0,0,0,846510505432590745,Apartment in Guatape,01/18/25 - 01/21/25,77,2,3,4.74,4.74 (23),19,https://www.airbnb.com/rooms/846510505432590745?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,21,3,64,0.8311688311688312,13,0,13,0.16883116883116883,,,,true,true,true,true,,,,true,,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,445,230,0,215,0,0,0,0,0,1103683337538624179,Apartment in Guatape,01/18/25 - 01/21/25,120,10,8,4.83,4.83 (6),13,https://www.airbnb.com/rooms/1103683337538624179?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,30,3,90,0.75,13,17,30,0.25,,,,true,true,true,,false,,true,true,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
14,440,165,0,275,0,0,0,0,0,1040856068747219322,Cabin in El Peñol,01/18/25 - 01/21/25,177,23,21,5,5.0 (51),1,https://www.airbnb.com/rooms/1040856068747219322?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,51,3,152,0.8587570621468926,0,25,25,0.14124293785310735,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,435,270,0,165,0,0,0,0,0,846516734152599484,Apartment in Guatape,01/18/25 - 01/21/25,77,2,3,4.54,4.54 (24),23,https://www.airbnb.com/rooms/846516734152599484?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,21,3,64,0.8311688311688312,13,0,13,0.16883116883116883,,,,,true,true,true,false,,,true,true,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,425,150,0,275,0,0,0,0,0,1275360654403956157,Apartment in Guatape,01/18/25 - 01/21/25,203,26,22,5,5.0 (7),1,https://www.airbnb.com/rooms/1275360654403956157?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,53,3,159,0.7832512315270936,19,25,44,0.21674876847290642,,true,true,true,true,true,true,,true,true,,true,true,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,425,235,0,190,0,0,0,0,0,1121151560571365601,Apartment in Guatape,01/18/25 - 01/21/25,115,9,9,4.76,4.76 (82),18,https://www.airbnb.com/rooms/1121151560571365601?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,33,3,99,0.8608695652173913,0,16,16,0.1391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,425,255,0,170,0,0,0,0,0,11503836,Apartment in Guatapé,01/18/25 - 01/21/25,95,5,7,4.64,4.64 (281),22,https://www.airbnb.com/rooms/11503836?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,27,3,80,0.8421052631578947,15,0,15,0.15789473684210525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,425,255,0,170,0,0,0,0,0,598628124578900209,Vacation home in Guatape,01/18/25 - 01/21/25,95,5,7,4.64,4.64 (123),22,https://www.airbnb.com/rooms/598628124578900209?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,27,3,80,0.8421052631578947,15,0,15,0.15789473684210525,,,,true,true,,,false,true,,true,,,,true,false,true,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
20,420,260,0,160,0,0,0,0,0,1301380457326940996,Apartment in Guatape,01/18/25 - 01/21/25,88,4,4,4.17,4.17 (6),24,https://www.airbnb.com/rooms/1301380457326940996?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,23,3,69,0.7840909090909091,7,12,19,0.2159090909090909,,,,true,true,true,true,false,,,true,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
