rank,totalRankScore,priceRankScore,reviewRankScore,id,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Kitchen,Wifi,Dedicated workspace,Free street parking,Pets allowed,TV,Free washer – In unit,Luggage dropoff allowed,Carbon monoxide alarm,Smoke alarm,Free parking on premises,Air conditioning,Exterior security cameras on property,Pool,Washer,AC - split type ductless system,Private patio or balcony,Elevator,Free dryer – In unit,Hair dryer,Mountain view,City skyline view,Free carport on premises,Shared outdoor pool - available all year, open specific hours, rooftop,40 inch HDTV with premium cable,Fast wifi – 129 Mbps,32 inch HDTV with Amazon Prime Video, Disney+, Netflix,Paid washer – In unit,Free parking garage on premises – 1 space,Sauna,HDTV,TV with standard cable,Patio or balcony,Fast wifi – 101 Mbps,Shared sauna,43 inch HDTV with Amazon Prime Video, Disney+, Netflix, premium cable,Private indoor pool - available all year, open specific hours,Shared hot tub,37 inch HDTV with standard cable,Shared backyard – Fully fenced,50 inch HDTV with premium cable,Dryer,Portable air conditioning,Refrigerator
1,180,90,90,974605556078144187,Apartment in Girón,01/18/25 - 01/21/25,49,1,5,5.0 (12),1,https://www.airbnb.com/rooms/974605556078144187?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,12,3,37,0.7551020408163265,5,7,12,0.24489795918367346,2 beds,1,true,true,true,true,true,true,true,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,155,65,90,23375011,Apartment in Bucaramanga,01/18/25 - 01/21/25,92,6,5,5.0 (10),1,https://www.airbnb.com/rooms/23375011?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7391304347826086,11,13,24,0.2608695652173913,,2,true,true,true,,true,true,,,false,false,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,145,55,90,1283504688149755779,Apartment in Girón,01/18/25 - 01/21/25,107,8,5,5.0 (4),1,https://www.airbnb.com/rooms/1283504688149755779?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,97,0.9065420560747663,0,15,15,0.14018691588785046,,4,true,true,,,true,true,,,false,,true,,,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,130,40,90,1079193609530257475,Apartment in Bucaramanga,01/18/25 - 01/21/25,132,11,5,5.0 (7),1,https://www.airbnb.com/rooms/1079193609530257475?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.7727272727272727,11,19,30,0.22727272727272727,,7,true,true,,,,true,,,false,false,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,105,15,90,1173291275831695504,Apartment in Floridablanca,01/18/25 - 01/21/25,145,16,5,5.0 (7),1,https://www.airbnb.com/rooms/1173291275831695504?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,109,0.7517241379310344,16,20,36,0.2482758620689655,2 beds,12,true,true,,,,true,,true,false,,true,true,true,,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,
16,95,10,85,1003787628675833597,Apartment in Floridablanca,01/18/25 - 01/21/25,156,17,4.96,4.96 (25),2,https://www.airbnb.com/rooms/1003787628675833597?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,112,0.717948717948718,22,22,44,0.28205128205128205,,16,true,true,true,,,true,,,false,,true,true,,,true,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,
9,115,35,80,47176985,Apartment in Bucaramanga,01/18/25 - 01/21/25,140,12,4.95,4.95 (55),3,https://www.airbnb.com/rooms/47176985?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,111,0.7928571428571428,9,20,29,0.20714285714285716,,9,true,true,true,,,true,,,false,,true,true,,,true,,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,
13,105,25,80,549851161295425732,Condo in Bucaramanga,01/18/25 - 01/21/25,143,14,4.95,4.95 (41),3,https://www.airbnb.com/rooms/549851161295425732?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,109,0.7622377622377622,14,20,34,0.23776223776223776,,13,true,true,true,,true,,,,,,,,,,,,,true,,,true,true,true,true,true,,,,,,,,,,,,,,,,,,,
3,155,80,75,1242095031946631179,Apartment in Bucaramanga,01/18/25 - 01/21/25,79,3,4.94,4.94 (17),4,https://www.airbnb.com/rooms/1242095031946631179?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.8607594936708861,0,11,11,0.13924050632911392,,3,true,true,true,,true,true,,,false,false,,,true,,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,
5,135,60,75,1139818050493671323,Apartment in Bucaramanga,01/18/25 - 01/21/25,100,7,4.94,4.94 (18),4,https://www.airbnb.com/rooms/1139818050493671323?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,78,0.78,8,14,22,0.22,,5,true,true,,,true,true,,,false,,true,,true,,true,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,
