rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Elevator,Paid dryer – In building,Air conditioning,Microwave,Exterior security cameras on property,Guest favorite,Pets allowed,Refrigerator,Carbon monoxide alarm,Smoke alarm,Superhost,Crib,Washer,Fast wifi – 224 Mbps,TV with standard cable,Free washer – In unit,Free dryer – In building,Luggage dropoff allowed,Free street parking,Dryer,Courtyard view,Garden view,Shared outdoor pool - available all year, open specific hours, lap pool,Private hot tub,55 inch HDTV with Chromecast, Disney+, Netflix,Free washer – In building,City skyline view,Shared outdoor pool - open specific hours, rooftop,43 inch HDTV with Netflix,AC - split type ductless system,Hair dryer,Fast wifi – 264 Mbps,Shared outdoor pool - available all year, open specific hours,Shared hot tub - available all year, open specific hours,43 inch HDTV,Paid washer – In building,Private hot tub - available all year, open 24 hours,43 inch HDTV with standard cable, Amazon Prime Video, Disney+, Netflix, HBO Max,55 inch HDTV with standard cable,Bathtub,Private patio or balcony,42 inch HDTV with Netflix, standard cable,Long term stays allowed
11,190,50,0,140,0,0,0,0,0,700212090262141071,Apartment in Medellín,01/18/25 - 01/21/25,245,19,19,5,5.0 (25),1,https://www.airbnb.com/rooms/700212090262141071?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,74,3,222,0.9061224489795918,23,0,23,0.09387755102040816,,true,true,true,true,true,true,true,,true,,true,true,true,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,185,65,0,120,0,0,0,0,0,594941022732437611,Loft in Medellín,01/18/25 - 01/21/25,203,16,16,4.9,4.9 (196),5,https://www.airbnb.com/rooms/594941022732437611?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,68,3,203,1,0,0,0,0,,true,true,true,true,true,,,,,,,true,,,,,,,,,,,,,,,true,true,true,true,true,true,,,,,,,,,,,,,,,,,
13,185,80,0,105,0,0,0,0,0,1162338280209067856,Loft in Medellín,01/18/25 - 01/21/25,174,13,14,4.85,4.85 (39),8,https://www.airbnb.com/rooms/1162338280209067856?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,58,3,174,1,0,0,0,0,,,true,true,true,true,,,,,,true,,true,,,,true,,,,,,true,,,,,,,,,true,,,,,,,,,,,true,true,,,,,
14,180,85,0,95,0,0,0,0,0,53710693,Loft in Medellín,01/18/25 - 01/21/25,173,12,14,4.83,4.83 (206),10,https://www.airbnb.com/rooms/53710693?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,58,3,173,1,0,0,0,0,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,175,115,0,60,0,0,0,0,0,38868580,Loft in Medellín ,01/18/25 - 01/21/25,138,6,2,4.56,4.56 (146),17,https://www.airbnb.com/rooms/38868580?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,34,3,103,0.7463768115942029,18,17,35,0.2536231884057971,2 beds,,true,true,,,,,,,true,,,,true,false,false,,,,,,,,,,,,true,,,,,true,,,,true,,,,,,,,,,,true,
16,170,70,0,100,0,0,0,0,0,51978429,Loft in Medellín,01/18/25 - 01/21/25,195,15,15,4.84,4.84 (2672),9,https://www.airbnb.com/rooms/51978429?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,65,3,264,1.353846153846154,0,0,0,0,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,165,40,0,125,0,0,0,0,0,909611405036168334,Loft in Medellín,01/18/25 - 01/21/25,260,21,17,4.91,4.91 (107),4,https://www.airbnb.com/rooms/909611405036168334?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,70,3,210,0.8076923076923077,18,32,50,0.19230769230769232,1 bed,true,true,true,true,true,,true,,,,,true,,,false,false,,,true,,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
18,165,100,0,65,0,0,0,0,0,862240654378549431,Apartment in El Poblado,01/18/25 - 01/21/25,160,9,12,4.7,4.7 (27),16,https://www.airbnb.com/rooms/862240654378549431?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,53,3,158,0.9875,2,0,2,0.0125,1 bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,160,25,0,135,0,0,0,0,0,971629784939908909,Apartment in El Poblado,01/18/25 - 01/21/25,369,24,23,4.96,4.96 (77),2,https://www.airbnb.com/rooms/971629784939908909?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,96,3,360,0.975609756097561,35,46,81,0.21951219512195122,,true,true,,true,true,,true,,,,,true,true,,false,false,,,,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,150,30,0,120,0,0,0,0,0,1047828197680109801,Apartment in Medellín,01/18/25 - 01/21/25,351,23,25,4.9,4.9 (30),5,https://www.airbnb.com/rooms/1047828197680109801?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,100,3,381,1.0854700854700854,50,0,50,0.14245014245014245,1 king bed,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,150,100,0,50,0,0,0,0,0,54258438,Apartment in El Poblado,01/18/25 - 01/21/25,160,9,10,4.25,4.25 (44),19,https://www.airbnb.com/rooms/54258438?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,51,3,152,0.95,8,0,8,0.05,,,true,true,,,true,,,true,,,,,true,false,,,,,,,,,true,,,,,,,,,,,,,true,,,,,,,,,,true,,true
22,145,90,0,55,0,0,0,0,0,53826082,Apartment in El Poblado,01/18/25 - 01/21/25,170,11,13,4.38,4.38 (16),18,https://www.airbnb.com/rooms/53826082?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,54,3,163,0.9588235294117647,7,0,7,0.041176470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,135,20,0,115,0,0,0,0,0,846307105899108594,Condo in Medellín,01/18/25 - 01/21/25,373,25,24,4.88,4.88 (93),6,https://www.airbnb.com/rooms/846307105899108594?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,99,3,297,0.7962466487935657,30,46,76,0.2037533512064343,,true,true,true,true,true,,true,,,,true,true,true,,,,,,,,true,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,
24,130,45,0,85,0,0,0,0,0,44395823,Apartment in El Poblado,01/18/25 - 01/21/25,248,20,21,4.77,4.77 (367),12,https://www.airbnb.com/rooms/44395823?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,83,3,248,1,0,0,0,0,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,130,60,0,70,0,0,0,0,0,44156630,Apartment in Medellín,01/18/25 - 01/21/25,214,17,18,4.72,4.72 (403),15,https://www.airbnb.com/rooms/44156630?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,71,3,214,1,0,0,0,0,,,true,true,true,true,,,,,,true,,true,,,,true,,,,true,,,,,,,,,,,,,,,,,,true,true,,true,,,,,,,
26,125,55,0,70,0,0,0,0,0,983634933032164657,Apartment in El Poblado,01/18/25 - 01/21/25,230,18,17,4.72,4.72 (36),15,https://www.airbnb.com/rooms/983634933032164657?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,70,3,210,0.9130434782608695,20,0,20,0.08695652173913043,2 beds,,true,true,true,true,true,true,,,,,,,,,,,,true,,,,,true,,,,,,,,,,,,,,,,,,,,,,true,true,,
27,115,35,0,80,0,0,0,0,0,21993512,Hotel room in El Poblado,01/18/25 - 01/21/25,291,22,22,4.76,4.76 (112),13,https://www.airbnb.com/rooms/21993512?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,94,3,297,1.0206185567010309,9,0,9,0.030927835051546393,1 bed,,true,true,true,,,,,,,true,,,true,,,true,,,,,,,true,,,,,,true,,,,,,true,true,,,,,,,,true,,,,
28,110,35,0,75,0,0,0,0,0,13658223,Apartment in El Poblado,01/18/25 - 01/21/25,291,22,20,4.75,4.75 (251),14,https://www.airbnb.com/rooms/13658223?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,75,3,225,0.7731958762886598,30,36,66,0.2268041237113402,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
