id,title,price,rating,ratingString,url,beds,amenities
1044756232934802278,Apartment in Girardot,14,5,5.0 (9),https://www.airbnb.com/rooms/1044756232934802278,,Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pool, Pets allowed, TV, Washer, Sound system
1254499674244414566,Apartment in Ricaurte,27,5,5.0 (9),https://www.airbnb.com/rooms/1254499674244414566,,Kitchen, Wifi, Free parking on premises, Pets allowed, TV, Washer, Air conditioning, Refrigerator
1231419692375730059,Apartment in Ricaurte,30,5,5.0 (12),https://www.airbnb.com/rooms/1231419692375730059,,Kitchen, Wifi, Free parking on premises, Pool, Pets allowed, TV, Washer, Exterior security cameras on property
1252952271328916592,Apartment in Ricaurte,41,5,5.0 (16),https://www.airbnb.com/rooms/1252952271328916592,,Kitchen, Wifi, Free parking on premises, Pool, TV, Elevator, Washer, Air conditioning, Private patio or balcony
1259729794027193090,Home in Ricaurte,41,5,5.0 (12),https://www.airbnb.com/rooms/1259729794027193090,4 beds,Kitchen, Wifi, Free parking on premises, Hot tub, Pets allowed, TV, Washer, Air conditioning
1137975671549639905,Home in Girardot,51,5,5.0 (17),https://www.airbnb.com/rooms/1137975671549639905,,Waterfront, Kitchen, Wifi, Dedicated workspace, Free residential garage on premises – 1 space, Shared outdoor pool - available all year, open specific hours, Pets allowed, Exterior security cameras on property
1291492495246029990,Apartment in Girardot,52,5,5.0 (3),https://www.airbnb.com/rooms/1291492495246029990,,Kitchen, Wifi, Free parking on premises, Pool, Pets allowed, TV, Elevator, Free washer, Central air conditioning
1253751913725392395,Apartment in Girardot,73,5,5.0 (19),https://www.airbnb.com/rooms/1253751913725392395,3 beds,Kitchen, Wifi, Free parking on premises, Pool, Hot tub, Pets allowed, TV, Exterior security cameras on property
1076267151906861610,Home in Ricaurte,39,4.99,4.99 (87),https://www.airbnb.com/rooms/1076267151906861610,,Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private indoor pool - available all year, open 24 hours, lap pool, pool toys, Private hot tub, Pets allowed, 55 inch HDTV, Free washer – In unit
23217484,Villa in Girardot,136,4.99,4.99 (122),https://www.airbnb.com/rooms/23217484,,Kitchen, Wifi, Free parking on premises, Private pool, Private hot tub, Pets allowed, TV, Washer, Air conditioning, Private patio or balcony
42813189,Home in Girardot,197,4.97,4.97 (34),https://www.airbnb.com/rooms/42813189,,Kitchen, Wifi, Free parking on premises, Private pool, Private hot tub, Pets allowed, TV, Air conditioning
42837330,Home in Girardot,147,4.96,4.96 (55),https://www.airbnb.com/rooms/42837330,,Kitchen, Wifi, Free parking on premises, Private pool, Private hot tub, TV, EV charger, Exterior security cameras on property
1068340648088113490,Room in Girardot,16,4.95,4.95 (57),https://www.airbnb.com/rooms/1068340648088113490,,Lock on bedroom door, Wifi, Free residential garage on premises – 2 spaces, Pool, Private hot tub - open specific hours, Long term stays allowed
45608893,Home in Girardot,112,4.94,4.94 (66),https://www.airbnb.com/rooms/45608893,9 beds,Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private pool, Private hot tub, Pets allowed, TV
903815034664929065,Apartment in Girardot,30,4.91,4.91 (74),https://www.airbnb.com/rooms/903815034664929065,,Mountain view, Park view, Kitchen, Fast wifi – 104 Mbps, Free residential garage on premises – 1 space, Pool, HDTV with standard cable, Elevator, Free washer – In unit, Private patio or balcony
941993774135959979,Home in Florian,113,4.89,4.89 (36),https://www.airbnb.com/rooms/941993774135959979,1 double bed,Garden view, Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private pool, Private hot tub, Exterior security cameras on property
42817117,Home in Girardot,130,4.89,4.89 (62),https://www.airbnb.com/rooms/42817117,10 beds,Courtyard view, Golf course view, Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private pool, Private hot tub
928366889092499590,Condo in Girardot,16,4.84,4.84 (58),https://www.airbnb.com/rooms/928366889092499590,3 beds,Kitchen, Wifi, Free carport on premises – 1 space, Shared pool, TV with standard cable, Washer – In unit, Bluetooth sound system
