Want,Like,Accommodation,TotalPrice,Rating,Rate,RatePercent,CleaningFee,AirbnbFee,FeeTotal,FeePercent,BedroomCount,Wifi,AC,TV,TV2,Sqm,Floor,CeilingHeight
,,Apartment in Bucaramanga,54,4.78,18,NaN,0,0,0,NaN,1,1,1,,,,,
,,Condo in Bucaramanga,240,4.78,80,NaN,0,0,0,NaN,2,1,1,,,,,
,,Apartment in Bucaramanga,144,4.77,48,NaN,0,0,0,NaN,,1,1,,,,,
,,Cottage in Piedecuesta,981,4.77,327,NaN,0,0,0,NaN,9.5,1,1,,,,,
,,Apartment in Bucaramanga,78,4.76,26,NaN,0,0,0,NaN,1,1,1,,,,,
,,Condo in Bucaramanga,111,4.76,37,NaN,0,0,0,NaN,1,1,1,,,,,
,,Home in Bucaramanga,405,4.76,135,NaN,0,0,0,NaN,4.5,1,1,,,,,
,,Condo in Bucaramanga,120,4.75,40,NaN,0,0,0,NaN,2.5,1,1,,,,,
,,Apartment in Bucaramanga,54,4.74,18,NaN,0,0,0,NaN,1,1,1,,,,,
,,Loft in Bucaramanga,135,4.74,45,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Bucaramanga,54,4.72,18,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Bucaramanga,63,4.72,21,NaN,0,0,0,NaN,1,1,1,,,,,
,,Condo in Bucaramanga,72,4.67,24,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,69,4.66,23,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,210,4.6,70,NaN,0,0,0,NaN,2,1,1,,,,,
,,Apartment in Bucaramanga,63,,21,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Bucaramanga,69,,23,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Floridablanca,96,,32,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Bucaramanga,99,,33,NaN,0,0,0,NaN,2,1,1,,,,,
,,Apartment in Bucaramanga,111,,37,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Floridablanca,117,,39,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Floridablanca,171,,57,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Girón,49,5,12,0.7551020408,5,7,12,0.2448979592,1,1,1,,,,,
,,Place to stay in Bucaramanga,54,4.6,12,0.6851851852,9,8,17,0.3148148148,1,1,1,,,,,
,,Apartment in Bucaramanga,62,5,17,0.8064516129,3,9,12,0.1935483871,,1,1,,,,,
,,Condo in Bucaramanga,69,4.81,17,0.7246376812,9,10,19,0.2753623188,1,1,1,,,,,
,,Condo in Piedecuesta,58,4.76,17,0.8620689655,0,8,8,0.1379310345,,1,1,,,,,
,,Loft in Bucaramanga,68,4.76,17,0.7352941176,18,0,18,0.2647058824,1,1,1,,,,,
,,Condo in Bucaramanga,71,5,20,0.8309859155,12,0,12,0.1690140845,1,1,1,,,,,
,,Apartment in Girón,83,4.88,20,0.7108433735,12,12,24,0.2891566265,,1,1,,,,,
,,Apartment in Bucaramanga,81,5,23,0.8518518519,1,11,12,0.1481481481,,1,1,,,,,
,,Apartment in Bucaramanga,92,5,23,0.75,10,13,23,0.25,,1,1,,,,,
,,Apartment in Bucaramanga,92,5,23,0.75,10,13,23,0.25,,1,1,,,,,
,,Apartment in Bucaramanga,94,5,23,0.7340425532,12,13,25,0.2659574468,,1,1,,,,,
,,Apartment in Bucaramanga,80,4.94,23,0.8625,0,11,11,0.1375,,1,1,,,,,
,,Apartment in Bucaramanga,90,4.86,23,0.7666666667,8,13,21,0.2333333333,,1,1,,,,,
,,Apartment in Bucaramanga,81,4.85,23,0.8518518519,12,0,12,0.1481481481,,1,1,,,,,
,,Apartment in Bucaramanga,90,4.84,23,0.7666666667,8,13,21,0.2333333333,1,1,1,,,,,
,,Condo in Bucaramanga,97,4.78,23,0.7113402062,14,14,28,0.2886597938,,1,1,,,,,
,,Apartment in Bucaramanga,80,4.58,23,0.8625,0,11,11,0.1375,,1,1,,,,,
,,Apartment in Bucaramanga,98,4.45,23,0.7040816327,15,14,29,0.2959183673,1,1,1,,,,,
,,Apartment in Bucaramanga,80,,23,0.8625,0,11,11,0.1375,,1,1,,,,,
,,Apartment in Bucaramanga,86,5,21,0.7209302326,12,12,24,0.2790697674,1,1,1,,,,,
,,Apartment in Bucaramanga,76,4.91,19,0.8157894737,9,11,20,0.2631578947,,1,1,,,,,
,,Condo in Bucaramanga,83,4.76,21,0.7469879518,9,12,21,0.2530120482,,1,1,,,,,
,,Guest suite in Zapatoca,92,5,26,0.8586956522,0,13,13,0.1413043478,,1,1,,,,,
,,Apartment in Bucaramanga,102,4.94,26,0.7745098039,9,14,23,0.2254901961,,1,1,,,,,
,,Farm stay in Bucaramanga,94,5,25,0.8085106383,5,13,18,0.1914893617,,1,1,,,,,
,,Apartment in Floridablanca,97,5,25,0.7835051546,7,14,21,0.2164948454,,1,1,,,,,
,,Apartment in Bucaramanga,88,4.97,25,0.8636363636,0,12,12,0.1363636364,,1,1,,,,,
,,Apartment in Bucaramanga,95,4.96,25,0.8,6,13,19,0.2,,1,1,,,,,
,,Apartment in Bucaramanga,107,4.88,25,0.7102803738,16,15,31,0.2897196262,,1,1,,,,,
,,Apartment in Bucaramanga,107,4.78,25,0.7102803738,16,15,31,0.2897196262,,1,1,,,,,
,,Apartment in Bucaramanga,107,4.72,25,0.7102803738,16,15,31,0.2897196262,2.5,1,1,,,,,
,,Apartment in Floridablanca,102,4.67,25,0.7450980392,12,14,26,0.2549019608,,1,1,,,,,
,,Apartment in Floridablanca,88,4.52,25,0.8636363636,0,12,12,0.1363636364,,1,1,,,,,
,,Apartment in Girón,103,5,27,0.854368932,9,15,24,0.2330097087,2,1,1,,,,,
,,Guest suite in Bucaramanga,112,4.95,29,0.7857142857,8,16,24,0.2142857143,,1,1,,,,,
,,Apartment in Bucaramanga,105,4.86,29,0.8380952381,4,13,17,0.1619047619,1,1,1,,,,,
,,Apartment in Bucaramanga,107,5,25,0.7009345794,17,15,32,0.2990654206,1,1,1,,,,,
,,Apartment in Bucaramanga,97,4.82,25,0.7731958763,8,14,22,0.2268041237,2,1,1,,,,,
,,Apartment in Bucaramanga,85,4.7,25,0.8823529412,10,0,10,0.1176470588,1,1,1,,,,,
,,Apartment in Girón,107,5,31,0.9065420561,0,15,15,0.1401869159,,1,1,,,,,
