Want,Like,Accommodation,TotalPrice,Rating,Rate,RatePercent,CleaningFee,AirbnbFee,FeeTotal,FeePercent,BedroomCount,Wifi,AC,TV,TV2,Sqm,Floor,CeilingHeight
,,Condo in Bucaramanga,165,4.89,40,0.7333333333,21,23,44,0.2666666667,2.5,1,1,,,,,
,,Apartment in Bucaramanga,81,4.85,25,1.49382716,6,0,6,0.07407407407,1.5,1,1,,,,,
,,Apartment in Bucaramanga,229,4.89,74,1.07860262,7,0,7,0.03056768559,1,1,1,,,,,
,,Condo in Bucaramanga,245,4.89,65,0.7959183673,20,30,50,0.2040816327,,1,1,,,,,
,,Home in Santander,402,4.89,103,0.7711442786,35,57,92,0.2288557214,,1,1,,,,,
,,Apartment in Floridablanca,193,4.88,55,0.8601036269,0,27,27,0.1398963731,,1,1,,,,,
,,Apartment in Bucaramanga,104,4.71,35,1.596153846,0,0,0,0,2,1,1,,,,,
,,Condo in Floridablanca,278,4.88,77,0.8345323741,7,39,46,0.1654676259,2,1,1,,,,,
,,Cabin in Bucaramanga,281,4.88,80,0.8576512456,0,40,40,0.1423487544,1,1,1,,,,,
,,Treehouse in Floridablanca,283,4.88,93,0.9823321555,5,0,5,0.01766784452,1,1,1,,,,,
,,Apartment in Bucaramanga,81,4.87,19,0.6913580247,14,11,25,0.3086419753,2,1,1,,,,,
,,Apartment in Bucaramanga,74,4.75,19,0.7567567568,8,10,18,0.2432432432,,1,1,,,,,
,,Apartment in Bucaramanga,65,4.71,19,0.8615384615,0,9,9,0.1384615385,,1,1,,,,,
,,Apartment in Bucaramanga,98,4.87,28,0.8571428571,0,14,14,0.1428571429,,1,1,,,,,
,,Condo in Bucaramanga,136,4.87,39,0.8602941176,0,19,19,0.1397058824,1.5,1,1,,,,,
,,Loft in Bucaramanga,149,4.78,39,0.7852348993,11,21,32,0.2147651007,1,1,1,,,,,
,,Loft in Bucaramanga,149,4.7,39,0.7852348993,11,21,32,0.2147651007,1,1,1,,,,,
,,Loft in Bucaramanga,142,4.6,39,0.823943662,5,20,25,0.176056338,1,1,1,,,,,
,,Condo in Bucaramanga,161,4.87,46,0.8571428571,0,23,23,0.1428571429,2,1,1,,,,,
,,Apartment in Bucaramanga,177,4.86,46,0.7796610169,14,25,39,0.2203389831,,1,1,,,,,
,,Apartment in Piedecuesta,177,4.74,46,0.7796610169,14,25,39,0.2203389831,,1,1,,,,,
,,Apartment in Floridablanca,152,,46,0.9078947368,14,0,14,0.09210526316,1,1,1,,,,,
,,Apartment in Bucaramanga,161,,46,0.8571428571,0,23,23,0.1428571429,,1,1,,,,,
,,Apartment in Floridablanca,227,4.87,62,0.8193832599,9,32,41,0.1806167401,1,1,1,,,,,
,,Apartment in Bucaramanga,54,4.86,14,0.7592592593,5,8,13,0.2407407407,,1,1,,,,,
,,Apartment in Bucaramanga,93,4.86,22,0.7096774194,14,13,27,0.2903225806,1,1,1,,,,,
,,Apartment in Bucaramanga,91,4.8,22,0.7252747253,12,13,25,0.2747252747,,1,1,,,,,
,,Apartment in Bucaramanga,83,4.54,22,0.7951807229,5,12,17,0.2048192771,,1,1,,,,,
,,Apartment in Bucaramanga,79,4.45,22,0.835443038,2,11,13,0.164556962,,1,1,,,,,
,,Apartment in Bucaramanga,109,4.86,26,0.7155963303,16,15,31,0.2844036697,2.5,1,1,,,,,
,,Apartment in Bucaramanga,86,4.85,26,0.9069767442,8,0,8,0.09302325581,,1,1,,,,,
,,Apartment in Bucaramanga,92,4.56,24,0.847826087,9,11,20,0.2173913043,1,1,1,,,,,
,,Apartment in Bucaramanga,114,4.86,35,0.9210526316,9,0,9,0.07894736842,,1,1,,,,,
,,Condo in Bucaramanga,117,4.82,30,0.8974358974,11,17,28,0.2393162393,1.5,1,1,,,,,
,,Loft in Bucaramanga,204,4.86,66,1.073529412,7,0,7,0.03431372549,1,1,1,,,,,
,,Apartment in Cañaveral,162,4.67,54,1.351851852,0,0,0,0,2,1,1,,,,,
,,Condo in Floridablanca,80,4.85,19,0.7125,12,11,23,0.2875,,1,1,,,,,
,,Apartment in Bucaramanga,82,4.85,23,0.8536585366,0,12,12,0.1463414634,,1,1,,,,,
,,Apartment in Floridablanca,101,4.85,24,0.702970297,16,14,30,0.297029703,1.5,1,1,,,,,
,,Apartment in Bucaramanga,102,4.85,25,0.7254901961,14,14,28,0.2745098039,,1,1,,,,,
,,Loft in Bucaramanga,107,4.85,33,0.9158878505,9,0,9,0.08411214953,1,1,1,,,,,
,,Condo in Bucaramanga,147,4.78,33,0.6666666667,28,21,49,0.3333333333,2.5,1,1,,,,,
,,Apartment in Bucaramanga,225,4.85,64,0.8577777778,0,32,32,0.1422222222,,1,1,,,,,
,,Apartment in Loma Mesa de Ruitoque,241,,64,0.8008298755,14,34,48,0.1991701245,,1,1,,,,,
,,Home in Loma Mesa de Ruitoque,643,4.85,184,0.8584758942,0,91,91,0.1415241058,2,1,1,,,,,
,,Apartment in Bucaramanga,114,4.84,28,0.7456140351,13,16,29,0.2543859649,2,1,1,,,,,
,,Apartment in Bucaramanga,92,4.47,28,0.9239130435,7,0,7,0.07608695652,,1,1,,,,,
,,Apartment in Bucaramanga,198,4.84,51,0.7676767677,18,28,46,0.2323232323,,1,1,,,,,
,,Apartment in La Parcela,177,4.8,51,0.8587570621,0,25,25,0.1412429379,,1,1,,,,,
,,Apartment in Floridablanca,185,4.66,51,0.8216216216,7,26,33,0.1783783784,,1,1,,,,,
,,Apartment in Bucaramanga,85,4.83,20,0.7176470588,12,12,24,0.2823529412,1,1,1,,,,,
,,Apartment in Bucaramanga,88,4.83,21,0.7272727273,12,12,24,0.2727272727,,1,1,,,,,
,,Apartment in Bucaramanga,83,4.74,21,0.7710843373,7,12,19,0.2289156627,,1,1,,,,,
,,Apartment in Bucaramanga,90,4.6,21,0.7111111111,13,13,26,0.2888888889,,1,1,,,,,
,,Apartment in Bucaramanga,109,4.83,29,0.7981651376,7,15,22,0.2018348624,1,1,1,,,,,
,,Apartment in Bucaramanga,201,4.83,59,0.8756218905,0,25,25,0.1243781095,2,1,1,,,,,
,,Apartment in Floridablanca,144,4.82,37,0.7708333333,13,20,33,0.2291666667,1.5,1,1,,,,,
,,Vacation home in Floridablanca,144,4.74,37,0.7708333333,13,20,33,0.2291666667,1,1,1,,,,,
,,Apartment in Floridablanca,82,4.81,21,0.7682926829,7,12,19,0.2317073171,,1,1,,,,,
,,Apartment in Bucaramanga,63,4.44,21,1,0,0,0,0,,1,1,,,,,
,,Condo in Bucaramanga,136,4.81,34,0.7573529412,16,17,33,0.2426470588,2,1,1,,,,,
,,Condo in Bucaramanga,136,4.78,34,0.7573529412,14,19,33,0.2426470588,2,1,1,,,,,
,,Apartment in Floridablanca,203,4.81,53,0.7783251232,16,29,45,0.2216748768,,1,1,,,,,
,,Apartment in Bucaramanga,99,4.67,33,1.595959596,0,0,0,0,1.5,1,1,,,,,
,,Apartment in Floridablanca,105,4.79,27,0.7714285714,9,15,24,0.2285714286,1.5,1,1,,,,,
,,Apartment in Bucaramanga,81,4.78,27,1,0,0,0,0,1.5,1,1,,,,,
,,Condo in Piedecuesta,94,4.71,27,0.8617021277,0,13,13,0.1382978723,1,1,1,,,,,
,,Apartment in Floridablanca,176,4.79,50,0.8579545455,0,25,25,0.1420454545,2,1,1,,,,,
,,Apartment in Bucaramanga,417,4.78,110,0.7913669065,28,59,87,0.2086330935,2,1,1,,,,,
,,Apartment in Floridablanca,142,4.77,36,0.7535211268,15,20,35,0.2464788732,1,1,1,,,,,
,,Apartment in Bucaramanga,176,4.77,45,0.7670454545,16,25,41,0.2329545455,2.5,1,1,,,,,
,,Apartment in Bucaramanga,60,4.76,15,0.75,7,8,15,0.25,3,1,1,,,,,
,,Apartment in Bucaramanga,114,4.76,30,0.7807017544,9,16,25,0.2192982456,,1,1,,,,,
,,Apartment in Bucaramanga,163,4.75,43,0.7852760736,12,23,35,0.2147239264,,1,1,,,,,
,,Loft in Bucaramanga,64,4.73,14,0.671875,12,9,21,0.328125,1,1,1,,,,,
,,Home in Bucaramanga,262,4.73,69,0.7900763359,18,37,55,0.2099236641,,1,1,,,,,
,,Apartment in Bucaramanga,198,4.72,52,0.7828282828,15,28,43,0.2171717172,2,1,1,,,,,
,,Apartment in Floridablanca,169,4.69,52,0.9171597633,14,0,14,0.08284023669,2,1,1,,,,,
,,Home in Bucaramanga,480,4.72,132,0.825,16,68,84,0.175,5,1,1,,,,,
,,Apartment in Bucaramanga,101,4.71,27,0.7920792079,7,14,21,0.2079207921,1,1,1,,,,,
,,Loft in Bucaramanga,81,4.7,19,0.7160493827,12,11,23,0.2839506173,1,1,1,,,,,
,,Apartment in Bucaramanga,289,4.69,68,0.7024221453,50,36,86,0.2975778547,4,1,1,,,,,
,,Apartment in Bucaramanga,115,4.67,31,0.8,7,16,23,0.2,1,1,1,,,,,
,,Apartment in Bucaramanga,146,4.64,43,0.8904109589,16,0,16,0.1095890411,1,1,1,,,,,
,,Apartment in Floridablanca,73,4.62,16,0.6712328767,14,10,24,0.3287671233,,1,1,,,,,
,,Cabin in Floridablanca,313,4.62,83,0.7923322684,21,44,65,0.2076677316,4,1,1,,,,,
,,Apartment in Bucaramanga,49,4.57,12,0.7346938776,6,7,13,0.2653061224,1.5,1,1,,,,,
,,Apartment in Bucaramanga,85,,24,0.8588235294,0,12,12,0.1411764706,,1,1,,,,,
,,Apartment in Bucaramanga,86,,24,0.8372093023,2,12,14,0.1627906977,,1,1,,,,,
,,Apartment in Piedecuesta,112,,30,0.8125,5,16,21,0.1875,,1,1,,,,,
,,Apartment in Bucaramanga,126,,39,0.9206349206,10,0,10,0.07936507937,,1,1,,,,,
,,Apartment in Floridablanca,199,,66,1,0,0,0,0,,1,1,,,,,
,,Apartment in Floridablanca,203,,58,0.8571428571,0,29,29,0.1428571429,1,1,1,,,,,
,,Cabin in Floridablanca,546,,156,1.073260073,0,77,77,0.141025641,,1,1,,,,,
,,Vacation home in Floridablanca,144.81,4.74,37.10,76.85933292,13.11,20.40,33.51,23.14066708,1,,,46,,51,3,2.4
,,Apartment in Bucaramanga,200.28,4.83,58.50,87.62732175,0.00,24.78,24.78,12.37267825,2,1,1,45,,90,16,
,,Loft in Bucaramanga,204.92,4.83,65.24,95.5104431,9.20,0.00,9.20,4.4895569,1,,1,65,2,50,11,2.4
,,Apartment in Bucaramanga,313.82,4.69,75.00,71.69715123,50.00,38.82,88.82,28.30284877,4,,,80,70,90,35,
,,Apartment in Bucaramanga,111.51,4.71,59.00,158.7301587,0.00,0.00,0.00,0,2,1,1,55,49,60,17,2.3
,,Apartment in Girón,96.38,5,27.60,85.90993982,0.00,13.58,13.58,14.09006018,1.5,1,,60,,53,16,2
,,Apartment in Floridablanca,173.48,5,49.68,85.91192068,0.00,24.44,24.44,14.08807932,1.5,1,,60,,57,1,2.5
,,Apartment in Piedecuesta,176.69,4.74,46.00,78.10289207,13.80,24.89,38.69,21.89710793,,1,,40,,67,12,
,,Loft in Bucaramanga,142.00,4.6,39.00,82.3943662,5.00,20.00,25.00,17.6056338,1,1,1,50,,47,27,2.7
,,Apartment in Floridablanca,142.00,4.63,41,0.8732394366,18,0,18,0.1267605634,2,1,,58,50,55,10,
