rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Park view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Refrigerator,Carbon monoxide alarm,Smoke alarm,Guest favorite,Washer,Pets allowed,Hair dryer,Mabe refrigerator,Microwave,Smoking allowed,Free street parking,Air conditioning,Garden view,Exterior security cameras on property,Free washer – In unit,Luggage dropoff allowed,High chair,Courtyard view,Elevator,Free dryer – In unit,Private patio or balcony,Valley view,142 inch HDTV,LG refrigerator,TV with standard cable,Shared hot tub - available all year,open specific hours,Shared sauna,Hot tub,50 inch HDTV with Netflix,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Samsung refrigerator,Long term stays allowed,Pool,Superhost,City skyline view,Dryer,Indoor fireplace,Sauna,HDTV with Netflix,Shared pool,Patio or balcony,Outdoor pool - open specific hours,Free residential garage on premises – 1 space,AC - split type ductless system,Mountain view,Fast wifi – 77 Mbps,Shared hot tub - available all year,Shared outdoor pool - available all year,open specific hours,Free dryer,Fast wifi – 567 Mbps,Paid washer – In building,Free parking garage on premises – 1 space,43 inch HDTV with standard cable,32 inch TV with Netflix,standard cable,Free washer – In building,Fast wifi – 280 Mbps,60 inch HDTV with standard cable,Shared hot tub - open specific hours,34 inch HDTV with standard cable,HDTV with standard cable,Shared outdoor pool - available all year,rooftop,60 inch HDTV with Netflix,standard cable,Shared backyard – Not fully fenced,Fast wifi – 113 Mbps,80 inch HDTV with Chromecast,Netflix,Fast wifi – 296 Mbps,HDTV with Disney+,Roku,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Portable air conditioning,32 inch TV with standard cable,Paid street parking off premises,Backyard,Hot tub - open specific hours,HDTV with premium cable,Netflix,Central air conditioning,43 inch HDTV with Netflix,Private backyard – Fully fenced,Private hot tub,32 inch HDTV with Netflix,standard cable,Free driveway parking on premises,Private hot tub - available all year,open 24 hours,Free parking on premises – 1 space,32 inch HDTV,Shared backyard – Fully fenced,32 inch HDTV with premium cable,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,Fast wifi – 95 Mbps,42 inch HDTV,Fast wifi – 210 Mbps,43 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,standard cable,Haceb refrigerator,Crib - available upon request,Fast wifi – 83 Mbps,Fast wifi – 52 Mbps,Shared outdoor pool - available all year,open specific hours,heated,50 inch HDTV with Disney+,Netflix,Fast wifi – 94 Mbps,50 inch HDTV,Paid parking on premises,Free dryer – In building,HACEB refrigerator,Fast wifi – 56 Mbps,Paid parking off premises,Children’s books and toys for ages 0-2 years old,2-5 years old,5-10 years old,and 10+ years old,55 inch HDTV with standard cable,Dryer – In unit
21,1000,475,0,525,0,0,0,0,0,51049348,Apartment in Sabaneta,01/18/25 - 01/21/25,94,20,11,4.89,4.89 (99),10,https://www.airbnb.com/rooms/51049348?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,62,0.6595744681,20,12,32,0.3404255319,2 beds,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1000,550,0,450,0,0,0,0,0,1157911543422314348,Apartment in Itagüi,01/18/25 - 01/21/25,57,5,4,4.71,4.71 (7),25,https://www.airbnb.com/rooms/1157911543422314348?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,14,3,41,0.7192982456,8,8,16,0.2807017544,,,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,995,425,0,570,0,0,0,0,0,1007251769908812128,Apartment in Itagüi,01/18/25 - 01/21/25,111,30,19,5,5.0 (12),1,https://www.airbnb.com/rooms/1007251769908812128?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7747747748,9,16,25,0.2252252252,2 beds,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,995,465,0,530,0,0,0,0,0,40156616,Loft in Itagüi,01/18/25 - 01/21/25,96,22,13,4.9,4.9 (93),9,https://www.airbnb.com/rooms/40156616?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7083333333,16,12,28,0.2916666667,1 queen bed,TRUE,,TRUE,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,995,480,0,515,0,0,0,0,0,848496317149931172,Apartment in Envigado,01/18/25 - 01/21/25,91,19,15,4.87,4.87 (23),12,https://www.airbnb.com/rooms/848496317149931172?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.8241758242,5,11,16,0.1758241758,,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,995,515,0,480,0,0,0,0,0,1045178939490689251,Loft in Itagüi,01/18/25 - 01/21/25,74,12,7,4.8,4.8 (5),19,https://www.airbnb.com/rooms/1045178939490689251?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,17,3,50,0.6756756757,14,10,24,0.3243243243,1 double bed,,,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,995,535,0,460,0,0,0,0,0,889980224445989891,Apartment in Itagüi,01/18/25 - 01/21/25,64,8,7,4.74,4.74 (54),23,https://www.airbnb.com/rooms/889980224445989891?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,17,3,52,0.8125,3,9,12,0.1875,,,,TRUE,TRUE,,,TRUE,TRUE,FALSE,FALSE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,990,420,0,570,0,0,0,0,0,1037124464191438549,Loft in Itagüi,01/18/25 - 01/21/25,113,31,21,5,5.0 (16),1,https://www.airbnb.com/rooms/1037124464191438549?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.8584070796,0,16,16,0.1415929204,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,990,420,0,570,0,0,0,0,0,1198709488154080626,Apartment in Sabaneta,01/18/25 - 01/21/25,113,31,16,5,5.0 (23),1,https://www.airbnb.com/rooms/1198709488154080626?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.6991150442,20,14,34,0.3008849558,1 bed,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,985,435,0,550,0,0,0,0,0,49179644,Apartment in Itagüi,01/18/25 - 01/21/25,107,28,19,4.95,4.95 (77),5,https://www.airbnb.com/rooms/49179644?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.8037383178,21,0,21,0.1962616822,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,985,555,0,430,0,0,0,0,0,910244347324351186,Apartment in Itagüi,01/18/25 - 01/21/25,53,4,4,4.58,4.58 (19),29,https://www.airbnb.com/rooms/910244347324351186?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,14,3,41,0.7735849057,5,7,12,0.2264150943,,,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,970,490,0,480,0,0,0,0,0,1012436473381870298,Loft in Itagüi,01/18/25 - 01/21/25,87,17,10,4.8,4.8 (5),19,https://www.airbnb.com/rooms/1012436473381870298?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.6781609195,16,12,28,0.3218390805,2 beds,TRUE,,TRUE,,TRUE,,,,FALSE,FALSE,TRUE,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,970,505,0,465,0,0,0,0,0,53891218,Condo in Sabaneta,01/18/25 - 01/21/25,81,14,10,4.75,4.75 (120),22,https://www.airbnb.com/rooms/53891218?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.7530864198,9,11,20,0.2469135802,,,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,955,420,0,535,0,0,0,0,0,1040839209899577475,Apartment in Itagüi,01/18/25 - 01/21/25,113,31,21,4.91,4.91 (11),8,https://www.airbnb.com/rooms/1040839209899577475?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.8584070796,0,16,16,0.1415929204,4 beds,TRUE,,TRUE,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,950,380,0,570,0,0,0,0,0,783982755566525704,Apartment in Itagüi,01/18/25 - 01/21/25,126,39,17,5,5.0 (18),1,https://www.airbnb.com/rooms/783982755566525704?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,145,1.150793651,28,18,46,0.3650793651,3 beds,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,950,410,0,540,0,0,0,0,0,1196424335499666992,Apartment in Envigado,01/18/25 - 01/21/25,116,33,16,4.92,4.92 (13),7,https://www.airbnb.com/rooms/1196424335499666992?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,78,0.6724137931,22,16,38,0.3275862069,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,950,530,0,420,0,0,0,0,0,35651968,Apartment in Sabaneta,01/18/25 - 01/21/25,69,9,6,4.39,4.39 (64),31,https://www.airbnb.com/rooms/35651968?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,47,0.6811594203,12,10,22,0.3188405797,2 beds,,,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,945,385,0,560,0,0,0,0,0,729875689487645971,Condo in Itagüi,01/18/25 - 01/21/25,124,38,22,4.97,4.97 (94),3,https://www.airbnb.com/rooms/729875689487645971?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,99,0.7983870968,10,15,25,0.2016129032,4 beds,TRUE,,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,945,415,0,530,0,0,0,0,0,1175434310081116877,Apartment in Sabaneta,01/18/25 - 01/21/25,114,32,20,4.9,4.9 (21),9,https://www.airbnb.com/rooms/1175434310081116877?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.7894736842,8,16,24,0.2105263158,,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,940,405,0,535,0,0,0,0,0,47287582,Loft in Sabaneta,01/18/25 - 01/21/25,120,34,20,4.91,4.91 (58),8,https://www.airbnb.com/rooms/47287582?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.75,15,15,30,0.25,1 double bed,,,TRUE,TRUE,,,,,FALSE,FALSE,,,,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,935,375,0,560,0,0,0,0,0,1100310068801751336,Apartment in Sabaneta,01/18/25 - 01/21/25,127,40,23,4.97,4.97 (31),3,https://www.airbnb.com/rooms/1100310068801751336?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.8031496063,7,18,25,0.1968503937,4 single beds,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,930,380,0,550,0,0,0,0,0,1205273598416577470,Apartment in Sabaneta,01/18/25 - 01/21/25,126,39,20,4.95,4.95 (20),5,https://www.airbnb.com/rooms/1205273598416577470?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.7142857143,18,18,36,0.2857142857,2 beds,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,920,360,0,560,0,0,0,0,0,859377302859045446,Apartment in Itagüi,01/18/25 - 01/21/25,131,43,21,4.97,4.97 (35),3,https://www.airbnb.com/rooms/859377302859045446?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.7404580153,16,18,34,0.2595419847,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,920,400,0,520,0,0,0,0,0,1273890322556518501,Apartment in Sabaneta,01/18/25 - 01/21/25,121,35,20,4.88,4.88 (8),11,https://www.airbnb.com/rooms/1273890322556518501?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.7438016529,14,17,31,0.2561983471,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,920,440,0,480,0,0,0,0,0,1054567527463027835,Apartment in Envigado,01/18/25 - 01/21/25,106,27,18,4.8,4.8 (25),19,https://www.airbnb.com/rooms/1054567527463027835?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,87,0.820754717,10,13,23,0.2169811321,,,,,TRUE,TRUE,,TRUE,,FALSE,FALSE,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,915,360,0,555,0,0,0,0,0,1267570302224081748,Loft in Medellín,01/18/25 - 01/21/25,131,43,32,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1267570302224081748?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,1,0,0,0,0,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,915,365,0,550,0,0,0,0,0,839202939495037727,Home in Itagüi,01/18/25 - 01/21/25,130,42,26,4.95,4.95 (44),5,https://www.airbnb.com/rooms/839202939495037727?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.8461538462,2,18,20,0.1538461538,,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,910,370,0,540,0,0,0,0,0,922493162960003692,Apartment in Itagüi,01/18/25 - 01/21/25,129,41,18,4.92,4.92 (12),7,https://www.airbnb.com/rooms/922493162960003692?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.6434108527,28,18,46,0.3565891473,5 beds,,,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,905,350,0,555,0,0,0,0,0,1049495384582433507,Guesthouse in Envigado,01/18/25 - 01/21/25,137,45,24,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1049495384582433507?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,104,0.7591240876,14,19,33,0.2408759124,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,905,370,0,535,0,0,0,0,0,1079853852751430070,Apartment in Itagüi,01/18/25 - 01/21/25,129,41,21,4.91,4.91 (34),8,https://www.airbnb.com/rooms/1079853852751430070?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.7519379845,14,18,32,0.2480620155,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,905,390,0,515,0,0,0,0,0,50346247,Apartment in Itagüi,01/18/25 - 01/21/25,123,37,23,4.87,4.87 (39),12,https://www.airbnb.com/rooms/50346247?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.8292682927,21,0,21,0.1707317073,4 beds,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,905,390,0,515,0,0,0,0,0,49031810,Apartment in Itagüi,01/18/25 - 01/21/25,123,37,23,4.87,4.87 (45),12,https://www.airbnb.com/rooms/49031810?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.8292682927,21,0,21,0.1707317073,,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,905,460,0,445,0,0,0,0,0,1067273850019297416,Apartment in Itagüi,01/18/25 - 01/21/25,97,23,13,4.69,4.69 (16),26,https://www.airbnb.com/rooms/1067273850019297416?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.7113402062,14,14,28,0.2886597938,,,,TRUE,TRUE,,TRUE,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,900,485,0,415,0,0,0,0,0,1284091044257074672,Apartment in Itagüi,01/18/25 - 01/21/25,90,18,10,,New,32,https://www.airbnb.com/rooms/1284091044257074672?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.6555555556,18,13,31,0.3444444444,,,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,,TRUE,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,895,455,0,440,0,0,0,0,0,1272783437398866667,Apartment in Itagüi,01/18/25 - 01/21/25,98,24,12,4.67,4.67 (3),27,https://www.airbnb.com/rooms/1272783437398866667?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,22,3,66,0.6734693878,20,12,32,0.3265306122,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,895,480,0,415,0,0,0,0,0,1277008216990610527,Cabin in San Antonio de Prado,01/18/25 - 01/21/25,91,19,14,,New,32,https://www.airbnb.com/rooms/1277008216990610527?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,71,0.7802197802,7,13,20,0.2197802198,1 bed,,,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
