rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Park view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Refrigerator,Carbon monoxide alarm,Smoke alarm,Guest favorite,Washer,Pets allowed,Hair dryer,Mabe refrigerator,Microwave,Smoking allowed,Free street parking,Air conditioning,Garden view,Exterior security cameras on property,Free washer – In unit,Luggage dropoff allowed,High chair,Courtyard view,Elevator,Free dryer – In unit,Private patio or balcony,Valley view,142 inch HDTV,LG refrigerator,TV with standard cable,Shared hot tub - available all year,open specific hours,Shared sauna,Hot tub,50 inch HDTV with Netflix,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Samsung refrigerator,Long term stays allowed,Pool,Superhost,City skyline view,Dryer,Indoor fireplace,Sauna,HDTV with Netflix,Shared pool,Patio or balcony,Outdoor pool - open specific hours,Free residential garage on premises – 1 space,AC - split type ductless system,Mountain view,Fast wifi – 77 Mbps,Shared hot tub - available all year,Shared outdoor pool - available all year,open specific hours,Free dryer,Fast wifi – 567 Mbps,Paid washer – In building,Free parking garage on premises – 1 space,43 inch HDTV with standard cable,32 inch TV with Netflix,standard cable,Free washer – In building,Fast wifi – 280 Mbps,60 inch HDTV with standard cable,Shared hot tub - open specific hours,34 inch HDTV with standard cable,HDTV with standard cable,Shared outdoor pool - available all year,rooftop,60 inch HDTV with Netflix,standard cable,Shared backyard – Not fully fenced,Fast wifi – 113 Mbps,80 inch HDTV with Chromecast,Netflix,Fast wifi – 296 Mbps,HDTV with Disney+,Roku,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Portable air conditioning,32 inch TV with standard cable,Paid street parking off premises,Backyard,Hot tub - open specific hours,HDTV with premium cable,Netflix,Central air conditioning,43 inch HDTV with Netflix,Private backyard – Fully fenced,Private hot tub,32 inch HDTV with Netflix,standard cable,Free driveway parking on premises,Private hot tub - available all year,open 24 hours,Free parking on premises – 1 space,32 inch HDTV,Shared backyard – Fully fenced,32 inch HDTV with premium cable,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,Fast wifi – 95 Mbps,42 inch HDTV,Fast wifi – 210 Mbps,43 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,standard cable,Haceb refrigerator,Crib - available upon request,Fast wifi – 83 Mbps,Fast wifi – 52 Mbps,Shared outdoor pool - available all year,open specific hours,heated,50 inch HDTV with Disney+,Netflix,Fast wifi – 94 Mbps,50 inch HDTV,Paid parking on premises,Free dryer – In building,HACEB refrigerator,Fast wifi – 56 Mbps,Paid parking off premises,Children’s books and toys for ages 0-2 years old,2-5 years old,5-10 years old,and 10+ years old,55 inch HDTV with standard cable,Dryer – In unit
11,1025,510,0,515,0,0,0,0,0,1139253196673099421,Apartment in Envigado,01/18/25 - 01/21/25,79,13,9,4.87,4.87 (54),12,https://www.airbnb.com/rooms/1139253196673099421?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,56,0.7088607595,12,11,23,0.2911392405,,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1020,490,0,530,0,0,0,0,0,933296084329682125,Place to stay in Envigado,01/18/25 - 01/21/25,87,17,12,4.9,4.9 (40),9,https://www.airbnb.com/rooms/933296084329682125?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,22,3,67,0.7701149425,8,12,20,0.2298850575,1 double bed,TRUE,,TRUE,,TRUE,TRUE,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1020,520,0,500,0,0,0,0,0,51329719,Apartment in Sabaneta,01/18/25 - 01/21/25,73,11,8,4.84,4.84 (122),15,https://www.airbnb.com/rooms/51329719?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.7534246575,8,10,18,0.2465753425,2 beds,TRUE,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1015,445,0,570,0,0,0,0,0,1269126708884957383,Apartment in Sabaneta,01/18/25 - 01/21/25,104,26,10,5,5.0 (6),1,https://www.airbnb.com/rooms/1269126708884957383?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.5673076923,30,15,45,0.4326923077,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1010,440,0,570,0,0,0,0,0,1066260898783802359,Apartment in Itagüi,01/18/25 - 01/21/25,106,27,18,5,5.0 (15),1,https://www.airbnb.com/rooms/1066260898783802359?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.7830188679,8,15,23,0.2169811321,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1010,525,0,485,0,0,0,0,0,984954368378591737,Apartment in Envigado,01/18/25 - 01/21/25,71,10,14,4.81,4.81 (52),18,https://www.airbnb.com/rooms/984954368378591737?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,71,1,0,0,0,0,,,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1010,565,0,445,0,0,0,0,0,1194894012870917717,Apartment in Sabaneta,01/18/25 - 01/21/25,50,2,2,4.69,4.69 (16),26,https://www.airbnb.com/rooms/1194894012870917717?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,12,3,37,0.74,6,7,13,0.26,,,,,TRUE,TRUE,,TRUE,,FALSE,FALSE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1005,450,0,555,0,0,0,0,0,1145953554384434307,Apartment in Sabaneta,01/18/25 - 01/21/25,99,25,15,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1145953554384434307?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,108,1.090909091,12,12,24,0.2424242424,,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1005,505,0,500,0,0,0,0,0,606520738809606016,Apartment in Envigado,01/18/25 - 01/21/25,81,14,9,4.84,4.84 (49),15,https://www.airbnb.com/rooms/606520738809606016?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,56,0.6913580247,14,11,25,0.3086419753,2 beds,TRUE,,TRUE,,TRUE,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1000,430,0,570,0,0,0,0,0,1010955381308192685,Home in Envigado,01/18/25 - 01/21/25,109,29,19,5,5.0 (12),1,https://www.airbnb.com/rooms/1010955381308192685?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7889908257,8,15,23,0.2110091743,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
