rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,rare_find,Kitchen,Fast wifi – 211 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,65 inch HDTV with standard cable,Elevator,Free washer – In unit,Carbon monoxide alarm,Smoke alarm,Wifi,TV,Air conditioning,Refrigerator,HDTV with Netflix,Dryer,Central air conditioning,Luggage dropoff allowed,Hair dryer,Exterior security cameras on property,City skyline view,Mountain view,Fast wifi – 407 Mbps,Shared outdoor pool - available all year,open specific hours,heated,infinity,rooftop,Shared hot tub - available all year,open specific hours,Fast wifi – 447 Mbps,Free carport on premises – 1 space,Shared outdoor pool - available all year,open specific hours,heated,infinity,Paid dryer – In building,Microwave,Valley view,Fast wifi – 213 Mbps,Free street parking,43 inch HDTV with Netflix,Pool,Sauna,55 inch HDTV,Washer,Hot tub,Paid washer – In building,Private patio or balcony,Fast wifi – 293 Mbps,AC - split type ductless system,Fast wifi – 86 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Shared hot tub,Bathtub,Fast wifi – 101 Mbps,Fast wifi – 55 Mbps,Fast wifi – 342 Mbps,Private hot tub,55 inch HDTV with standard cable,Garden view,Fast wifi – 446 Mbps,Private hot tub - available all year,open 24 hours,Fast wifi – 223 Mbps,55 inch HDTV with Netflix,Shared outdoor pool - available all year,open specific hours,heated,infinity,lap pool,rooftop,60 inch HDTV with standard cable,Park view,Shared outdoor pool - available all year,open specific hours,infinity,54 inch HDTV with Netflix,Private hot tub - available all year,Shared pool,Shared sauna,42 inch HDTV with standard cable,Free dryer – In unit,50 inch HDTV,Fast wifi – 560 Mbps,Fast wifi – 576 Mbps,60 inch HDTV with Netflix,Amazon Prime Video,Patio or balcony,Fast wifi – 200 Mbps,HDTV with standard cable,Fast wifi – 567 Mbps,TV with standard cable,HDTV,Free residential garage on premises – 1 space,Free driveway parking on premises – 3 spaces,Free washer – In building,Fast wifi – 300 Mbps,Fast wifi – 327 Mbps,50 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,Free parking garage on premises – 1 space,Fast wifi – 60 Mbps,Free driveway parking on premises – 1 space,140 inch HDTV with HBO Max,Netflix,DVD player,Fast wifi – 165 Mbps,Fast wifi – 157 Mbps,Shared outdoor pool - available all year,heated,Fast wifi – 506 Mbps,Fast wifi – 328 Mbps,65 inch HDTV with Netflix,65 inch HDTV,Fast wifi – 133 Mbps,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,42 inch HDTV,Free carport on premises,47 inch TV with standard cable,Fast wifi – 59 Mbps,Long term stays allowed,42 inch HDTV with Netflix,Fast wifi – 413 Mbps,49 inch HDTV with Netflix,HDTV with Netflix,standard cable,Fast wifi – 346 Mbps,Free parking garage on premises,Fast wifi – 237 Mbps,Fast wifi – 378 Mbps,43 inch HDTV,Shared outdoor pool - available all year,open specific hours,Shared outdoor pool - available all year,open specific hours,lap pool,43 inch TV with Disney+,Netflix,Free dryer – In building,Courtyard view,70 inch HDTV with Netflix,standard cable,Fast wifi – 379 Mbps,32 inch HDTV with Fire TV,Netflix,premium cable,50 inch HDTV with Netflix,Fast wifi – 104 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,standard cable,Backyard,High chair,Fast wifi – 302 Mbps,Gym,32 inch HDTV with standard cable,Shared patio or balcony,Fast wifi – 162 Mbps,Fast wifi – 412 Mbps,40 inch TV with Netflix,Washer – In unit,43 inch HDTV with Netflix,standard cable,Disney+,HDTV with Netflix,premium cable,HDTV with standard cable,Amazon Prime Video,Netflix,Portable air conditioning,Fast wifi – 238 Mbps,52 inch HDTV,32 inch HDTV with premium cable,Haceb refrigerator,Paid parking on premises
21,1756,-5,615,610,0,4,532,1009599082023373935,Apartment in Medellín,01/18/25 - 01/21/25,0,134,10,4.9,4.9 (10),11,https://www.airbnb.com/rooms/1009599082023373935?room_types%5B%5D=Entire%20home%2Fapt,35,0,0,NaN,0,0,0,NaN,,21,FALSE,TRUE,,TRUE,,,,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1751,-5,610,610,0,4,532,39950434,Apartment in Medellín,01/18/25 - 01/21/25,0,134,11,4.9,4.9 (167),11,https://www.airbnb.com/rooms/39950434?room_types%5B%5D=Entire%20home%2Fapt,36,0,0,NaN,0,0,0,NaN,2 beds,22,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1751,-5,625,595,0,4,532,28961556,Apartment in Medellín,01/18/25 - 01/21/25,0,134,8,4.86,4.86 (79),14,https://www.airbnb.com/rooms/28961556?room_types%5B%5D=Entire%20home%2Fapt,33,0,0,NaN,0,0,0,NaN,2 beds,23,FALSE,TRUE,,,TRUE,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1746,-5,555,660,0,4,532,1263769456381535784,Apartment in Medellín,01/18/25 - 01/21/25,0,134,22,5,5.0 (12),1,https://www.airbnb.com/rooms/1263769456381535784?room_types%5B%5D=Entire%20home%2Fapt,50,0,0,NaN,0,0,0,NaN,,24,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1746,-5,575,640,0,4,532,614510146401351446,Apartment in Medellín,01/18/25 - 01/21/25,0,134,18,4.96,4.96 (99),5,https://www.airbnb.com/rooms/614510146401351446?room_types%5B%5D=Entire%20home%2Fapt,46,0,0,NaN,0,0,0,NaN,,25,FALSE,TRUE,,TRUE,,,,TRUE,,FALSE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1746,-5,585,630,0,4,532,1039296194701457836,Apartment in Medellín,01/18/25 - 01/21/25,0,134,16,4.94,4.94 (33),7,https://www.airbnb.com/rooms/1039296194701457836?room_types%5B%5D=Entire%20home%2Fapt,43,0,0,NaN,0,0,0,NaN,,26,FALSE,TRUE,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1746,-5,610,605,0,4,532,1010266485794029304,Apartment in Medellín,01/18/25 - 01/21/25,0,134,11,4.89,4.89 (19),12,https://www.airbnb.com/rooms/1010266485794029304?room_types%5B%5D=Entire%20home%2Fapt,36,0,0,NaN,0,0,0,NaN,,27,FALSE,TRUE,,TRUE,,,,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1746,-5,615,600,0,4,532,795940591561934602,Apartment in Medellín,01/18/25 - 01/21/25,0,134,10,4.88,4.88 (82),13,https://www.airbnb.com/rooms/795940591561934602?room_types%5B%5D=Entire%20home%2Fapt,35,0,0,NaN,0,0,0,NaN,1 bed,28,FALSE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1746,-5,620,595,0,4,532,1010218880200581157,Apartment in Medellín,01/18/25 - 01/21/25,0,134,9,4.86,4.86 (14),14,https://www.airbnb.com/rooms/1010218880200581157?room_types%5B%5D=Entire%20home%2Fapt,34,0,0,NaN,0,0,0,NaN,,29,FALSE,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1736,-5,575,630,0,4,532,1132652153228778919,Loft in Medellín,01/18/25 - 01/21/25,0,134,18,4.94,4.94 (16),7,https://www.airbnb.com/rooms/1132652153228778919?room_types%5B%5D=Entire%20home%2Fapt,46,0,0,NaN,0,0,0,NaN,2 beds,30,FALSE,TRUE,,TRUE,,,,,,FALSE,,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1736,-5,610,595,0,4,532,1198533813762163278,Apartment in Medellín,01/18/25 - 01/21/25,0,134,11,4.86,4.86 (14),14,https://www.airbnb.com/rooms/1198533813762163278?room_types%5B%5D=Entire%20home%2Fapt,36,0,0,NaN,0,0,0,NaN,,31,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1731,-5,575,625,0,4,532,1271166198338904350,Loft in Laureles-Estadio,01/18/25 - 01/21/25,0,134,18,4.93,4.93 (15),8,https://www.airbnb.com/rooms/1271166198338904350?room_types%5B%5D=Entire%20home%2Fapt,46,0,0,NaN,0,0,0,NaN,1 queen bed,32,FALSE,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1731,-5,595,605,0,4,532,1047423709364563386,Loft in Medellín,01/18/25 - 01/21/25,0,134,14,4.89,4.89 (47),12,https://www.airbnb.com/rooms/1047423709364563386?room_types%5B%5D=Entire%20home%2Fapt,40,0,0,NaN,0,0,0,NaN,,33,FALSE,TRUE,,,,,,,,FALSE,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1731,-5,605,595,0,4,532,53334644,Apartment in Medellín,01/18/25 - 01/21/25,0,134,12,4.86,4.86 (29),14,https://www.airbnb.com/rooms/53334644?room_types%5B%5D=Entire%20home%2Fapt,38,0,0,NaN,0,0,0,NaN,,34,FALSE,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1731,-5,620,580,0,4,532,48389789,Apartment in Medellín,01/18/25 - 01/21/25,0,134,9,4.83,4.83 (23),17,https://www.airbnb.com/rooms/48389789?room_types%5B%5D=Entire%20home%2Fapt,34,0,0,NaN,0,0,0,NaN,,35,FALSE,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1731,-5,625,575,0,4,532,721127338628482677,Loft in Medellín,01/18/25 - 01/21/25,0,134,8,4.82,4.82 (137),18,https://www.airbnb.com/rooms/721127338628482677?room_types%5B%5D=Entire%20home%2Fapt,33,0,0,NaN,0,0,0,NaN,2 beds,36,FALSE,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1731,-5,650,550,0,4,532,740774767377144002,Apartment in Medellín,01/18/25 - 01/21/25,0,134,3,4.77,4.77 (39),23,https://www.airbnb.com/rooms/740774767377144002?room_types%5B%5D=Entire%20home%2Fapt,23,0,0,NaN,0,0,0,NaN,,37,FALSE,TRUE,,TRUE,,,,,,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1726,-5,535,660,0,4,532,979181064278272098,Apartment in Medellín,01/18/25 - 01/21/25,0,134,26,5,5.0 (16),1,https://www.airbnb.com/rooms/979181064278272098?room_types%5B%5D=Entire%20home%2Fapt,54,0,0,NaN,0,0,0,NaN,1 king bed,38,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1721,-5,610,580,0,4,532,604391520247234936,Loft in El Poblado,01/18/25 - 01/21/25,0,134,11,4.83,4.83 (198),17,https://www.airbnb.com/rooms/604391520247234936?room_types%5B%5D=Entire%20home%2Fapt,36,0,0,NaN,0,0,0,NaN,,39,FALSE,TRUE,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1716,-5,595,590,0,4,532,21692770,Apartment in Medellín,01/18/25 - 01/21/25,0,134,14,4.85,4.85 (129),15,https://www.airbnb.com/rooms/21692770?room_types%5B%5D=Entire%20home%2Fapt,40,0,0,NaN,0,0,0,NaN,2 beds,40,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1716,-5,630,555,0,4,532,723202833330109096,Loft in Medellín,01/18/25 - 01/21/25,0,134,7,4.78,4.78 (138),22,https://www.airbnb.com/rooms/723202833330109096?room_types%5B%5D=Entire%20home%2Fapt,32,0,0,NaN,0,0,0,NaN,2 beds,41,FALSE,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1711,-5,555,625,0,4,532,786908775335560631,Loft in Medellín,01/18/25 - 01/21/25,0,134,22,4.93,4.93 (120),8,https://www.airbnb.com/rooms/786908775335560631?room_types%5B%5D=Entire%20home%2Fapt,50,0,0,NaN,0,0,0,NaN,,42,FALSE,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1711,-5,565,615,0,4,532,913225508950017531,Condo in El Poblado,01/18/25 - 01/21/25,0,134,20,4.91,4.91 (57),10,https://www.airbnb.com/rooms/913225508950017531?room_types%5B%5D=Entire%20home%2Fapt,48,0,0,NaN,0,0,0,NaN,1 sofa bed,43,FALSE,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1711,-5,580,600,0,4,532,619619353153063264,Apartment in Medellín,01/18/25 - 01/21/25,0,134,17,4.88,4.88 (17),13,https://www.airbnb.com/rooms/619619353153063264?room_types%5B%5D=Entire%20home%2Fapt,44,0,0,NaN,0,0,0,NaN,,44,FALSE,TRUE,,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1711,-5,595,585,0,4,532,853790410864690738,Apartment in Medellín,01/18/25 - 01/21/25,0,134,14,4.84,4.84 (25),16,https://www.airbnb.com/rooms/853790410864690738?room_types%5B%5D=Entire%20home%2Fapt,40,0,0,NaN,0,0,0,NaN,1 bed,45,FALSE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1711,-5,600,580,0,4,532,742172046120610731,Apartment in Medellín,01/18/25 - 01/21/25,0,134,13,4.83,4.83 (6),17,https://www.airbnb.com/rooms/742172046120610731?room_types%5B%5D=Entire%20home%2Fapt,39,0,0,NaN,0,0,0,NaN,1 bed,46,FALSE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1706,-5,530,645,0,4,532,1186446467442100277,Apartment in Medellín,01/18/25 - 01/21/25,0,134,27,4.97,4.97 (39),4,https://www.airbnb.com/rooms/1186446467442100277?room_types%5B%5D=Entire%20home%2Fapt,55,0,0,NaN,0,0,0,NaN,,47,FALSE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1706,-5,530,645,0,4,532,558644862441224465,Condo in Medellín,01/18/25 - 01/21/25,0,134,27,4.97,4.97 (103),4,https://www.airbnb.com/rooms/558644862441224465?room_types%5B%5D=Entire%20home%2Fapt,55,0,0,NaN,0,0,0,NaN,,48,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1696,-5,530,635,0,4,532,606396542153924390,Apartment in Medellín,01/18/25 - 01/21/25,0,134,27,4.95,4.95 (96),6,https://www.airbnb.com/rooms/606396542153924390?room_types%5B%5D=Entire%20home%2Fapt,55,0,0,NaN,0,0,0,NaN,1 bed,49,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1691,-5,530,630,0,4,532,807163850300957760,Loft in El Poblado,01/18/25 - 01/21/25,0,134,27,4.94,4.94 (32),7,https://www.airbnb.com/rooms/807163850300957760?room_types%5B%5D=Entire%20home%2Fapt,55,0,0,NaN,0,0,0,NaN,,50,FALSE,TRUE,,TRUE,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1691,-5,650,510,0,4,532,863062824452063671,Apartment in Medellín,01/18/25 - 01/21/25,0,134,3,4.66,4.66 (38),31,https://www.airbnb.com/rooms/863062824452063671?room_types%5B%5D=Entire%20home%2Fapt,23,0,0,NaN,0,0,0,NaN,1 double bed,51,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1686,-5,595,560,0,4,532,951185034517128247,Apartment in Medellín,01/18/25 - 01/21/25,0,134,14,4.79,4.79 (67),21,https://www.airbnb.com/rooms/951185034517128247?room_types%5B%5D=Entire%20home%2Fapt,40,0,0,NaN,0,0,0,NaN,1 bed,52,FALSE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
