rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,rare_find,Kitchen,Fast wifi – 211 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,65 inch HDTV with standard cable,Elevator,Free washer – In unit,Carbon monoxide alarm,Smoke alarm,Wifi,TV,Air conditioning,Refrigerator,HDTV with Netflix,Dryer,Central air conditioning,Luggage dropoff allowed,Hair dryer,Exterior security cameras on property,City skyline view,Mountain view,Fast wifi – 407 Mbps,Shared outdoor pool - available all year,open specific hours,heated,infinity,rooftop,Shared hot tub - available all year,open specific hours,Fast wifi – 447 Mbps,Free carport on premises – 1 space,Shared outdoor pool - available all year,open specific hours,heated,infinity,Paid dryer – In building,Microwave,Valley view,Fast wifi – 213 Mbps,Free street parking,43 inch HDTV with Netflix,Pool,Sauna,55 inch HDTV,Washer,Hot tub,Paid washer – In building,Private patio or balcony,Fast wifi – 293 Mbps,AC - split type ductless system,Fast wifi – 86 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Shared hot tub,Bathtub,Fast wifi – 101 Mbps,Fast wifi – 55 Mbps,Fast wifi – 342 Mbps,Private hot tub,55 inch HDTV with standard cable,Garden view,Fast wifi – 446 Mbps,Private hot tub - available all year,open 24 hours,Fast wifi – 223 Mbps,55 inch HDTV with Netflix,Shared outdoor pool - available all year,open specific hours,heated,infinity,lap pool,rooftop,60 inch HDTV with standard cable,Park view,Shared outdoor pool - available all year,open specific hours,infinity,54 inch HDTV with Netflix,Private hot tub - available all year,Shared pool,Shared sauna,42 inch HDTV with standard cable,Free dryer – In unit,50 inch HDTV,Fast wifi – 560 Mbps,Fast wifi – 576 Mbps,60 inch HDTV with Netflix,Amazon Prime Video,Patio or balcony,Fast wifi – 200 Mbps,HDTV with standard cable,Fast wifi – 567 Mbps,TV with standard cable,HDTV,Free residential garage on premises – 1 space,Free driveway parking on premises – 3 spaces,Free washer – In building,Fast wifi – 300 Mbps,Fast wifi – 327 Mbps,50 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,Free parking garage on premises – 1 space,Fast wifi – 60 Mbps,Free driveway parking on premises – 1 space,140 inch HDTV with HBO Max,Netflix,DVD player,Fast wifi – 165 Mbps,Fast wifi – 157 Mbps,Shared outdoor pool - available all year,heated,Fast wifi – 506 Mbps,Fast wifi – 328 Mbps,65 inch HDTV with Netflix,65 inch HDTV,Fast wifi – 133 Mbps,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,42 inch HDTV,Free carport on premises,47 inch TV with standard cable,Fast wifi – 59 Mbps,Long term stays allowed,42 inch HDTV with Netflix,Fast wifi – 413 Mbps,49 inch HDTV with Netflix,HDTV with Netflix,standard cable,Fast wifi – 346 Mbps,Free parking garage on premises,Fast wifi – 237 Mbps,Fast wifi – 378 Mbps,43 inch HDTV,Shared outdoor pool - available all year,open specific hours,Shared outdoor pool - available all year,open specific hours,lap pool,43 inch TV with Disney+,Netflix,Free dryer – In building,Courtyard view,70 inch HDTV with Netflix,standard cable,Fast wifi – 379 Mbps,32 inch HDTV with Fire TV,Netflix,premium cable,50 inch HDTV with Netflix,Fast wifi – 104 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,standard cable,Backyard,High chair,Fast wifi – 302 Mbps,Gym,32 inch HDTV with standard cable,Shared patio or balcony,Fast wifi – 162 Mbps,Fast wifi – 412 Mbps,40 inch TV with Netflix,Washer – In unit,43 inch HDTV with Netflix,standard cable,Disney+,HDTV with Netflix,premium cable,HDTV with standard cable,Amazon Prime Video,Netflix,Portable air conditioning,Fast wifi – 238 Mbps,52 inch HDTV,32 inch HDTV with premium cable,Haceb refrigerator,Paid parking on premises
11,1781,-5,595,655,0,4,532,1336957,Apartment in Medellin,01/18/25 - 01/21/25,0,134,14,4.99,4.99 (75),2,https://www.airbnb.com/rooms/1336957?room_types%5B%5D=Entire%20home%2Fapt,40,0,0,NaN,0,0,0,NaN,1 double bed,11,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1776,-5,615,630,0,4,532,1273943624793941239,Loft in Medellín,01/18/25 - 01/21/25,0,134,10,4.94,4.94 (16),7,https://www.airbnb.com/rooms/1273943624793941239?room_types%5B%5D=Entire%20home%2Fapt,35,0,0,NaN,0,0,0,NaN,,12,FALSE,,,TRUE,,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1771,-5,580,660,0,4,532,1263955582387290981,Loft in Medellín,01/18/25 - 01/21/25,0,134,17,5,5.0 (3),1,https://www.airbnb.com/rooms/1263955582387290981?room_types%5B%5D=Entire%20home%2Fapt,44,0,0,NaN,0,0,0,NaN,1 bed,13,FALSE,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1771,-5,615,625,0,4,532,1121440205261618500,Apartment in El Poblado,01/18/25 - 01/21/25,0,134,10,4.93,4.93 (40),8,https://www.airbnb.com/rooms/1121440205261618500?room_types%5B%5D=Entire%20home%2Fapt,35,0,0,NaN,0,0,0,NaN,,14,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1771,-5,620,620,0,4,532,1031741220812433488,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,0,134,9,4.92,4.92 (12),9,https://www.airbnb.com/rooms/1031741220812433488?room_types%5B%5D=Entire%20home%2Fapt,34,0,0,NaN,0,0,0,NaN,,15,FALSE,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1771,-5,645,595,0,4,532,47892746,Loft in Sabaneta,01/18/25 - 01/21/25,0,134,4,4.86,4.86 (42),14,https://www.airbnb.com/rooms/47892746?room_types%5B%5D=Entire%20home%2Fapt,25,0,0,NaN,0,0,0,NaN,,16,FALSE,TRUE,,TRUE,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1766,-5,640,595,0,4,532,753015520830374406,Loft in Medellín,01/18/25 - 01/21/25,0,134,5,4.86,4.86 (59),14,https://www.airbnb.com/rooms/753015520830374406?room_types%5B%5D=Entire%20home%2Fapt,28,0,0,NaN,0,0,0,NaN,1 bed,17,FALSE,,,,,,,TRUE,,FALSE,FALSE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1766,-5,660,575,0,4,532,905257866849738084,Apartment in Medellín,01/18/25 - 01/21/25,0,134,1,4.82,4.82 (28),18,https://www.airbnb.com/rooms/905257866849738084?room_types%5B%5D=Entire%20home%2Fapt,18,0,0,NaN,0,0,0,NaN,1 bed,18,FALSE,TRUE,,TRUE,,,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1761,-5,595,635,0,4,532,1159565727828615792,Apartment in Medellín,01/18/25 - 01/21/25,0,134,14,4.95,4.95 (22),6,https://www.airbnb.com/rooms/1159565727828615792?room_types%5B%5D=Entire%20home%2Fapt,40,0,0,NaN,0,0,0,NaN,,19,FALSE,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1756,-5,605,620,0,4,532,769115762122969159,Apartment in Sabaneta,01/18/25 - 01/21/25,0,134,12,4.92,4.92 (213),9,https://www.airbnb.com/rooms/769115762122969159?room_types%5B%5D=Entire%20home%2Fapt,38,0,0,NaN,0,0,0,NaN,,20,FALSE,TRUE,,TRUE,,,,,,FALSE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
